Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
357,[MVP+] xxzzzz [TRAGEDY],6063,649,26554,26973,2.84,1.41,14.59
358,[MVP+] Art_02 [ANNOY],6043,530,10322,9038,2.91,0.46,3.75
359,[MVP+] twww [JL],6043,456,22664,21733,2.76,0.86,10.44
360,[MVP+] Mastir [S],6034,372,9849,13533,5.09,0.49,10.78
361,[MVP+] wapaam [BLOOD],6033,355,11925,16584,6.34,0.70,16.16
362,[VIP] APCalculusAB [STORM],6030,449,23023,21376,1.88,1.00,6.32
363,[MVP+] Reliate [DARK],6016,420,14169,14341,2.45,0.59,7.01
364,[MVP+] ToxicFlame [FOO],6011,562,24816,20248,1.84,0.90,5.97
365,[MVP+] MildlySweaty,6007,319,11816,18236,27.31,0.82,70.96
366,[MVP+] MilleniumBug [ITALY],6000,724,26737,12009,1.63,0.81,3.19
367,[MVP++] ENGLO [ΘREBLΘ],5993,556,11583,12471,2.88,0.51,5.59
368,[MVP++] Protectionn [GGMEN],5985,475,16617,16548,3.47,0.67,9.39
369,[MVP+] KamikazeMission,5982,492,19578,19120,1.34,0.57,4.29
370,[MVP+] SpookyTKDS [87],5951,582,21919,11871,3.45,0.54,6.30
371,[MVP+] oofEar [RMPGE],5945,595,24330,26133,1.45,0.68,6.41
372,[VIP] 7n5_ [TRAGEDY],5945,310,13593,17922,4.94,0.63,12.39
373,[MVP+] Plateni_TW [FAZE],5938,436,20558,17129,2.16,0.69,5.96
374,[MVP+] xAngie [S],5938,586,24948,15459,2.21,0.88,6.13
375,[MVP+] Meqqn [FOO],5937,306,9078,13546,8.73,0.59,18.13
376,taf4y [CHAMPS],5935,683,31761,24113,0.79,0.95,3.94
377,[MVP+] MrEpicDude666,5930,315,8329,23307,7.17,0.65,28.67
378,[MVP+] Shablo [ITALY],5928,378,14800,14726,5.50,0.77,14.08
379,[MVP+] RodrY_ [STORM],5925,622,23858,17418,3.09,1.10,9.07
380,[MVP++] mylla_ [BRASIL],5920,697,44179,20232,1.58,1.18,5.22
381,eCarry [DARK],5919,447,16839,18592,1.97,0.62,6.67
382,[MVP+] 32PeaAttack32 [TALIBS],5918,539,12453,10883,2.25,0.39,4.45
383,[MVP+] WRONGFUL,5917,461,13619,14971,3.37,0.70,7.72
384,[MVP+] Bact,5907,462,21144,20827,2.28,0.76,8.89
385,[MVP+] Night_DeviiL [ANNOY],5899,622,24432,17131,0.98,0.60,3.08
386,[MVP+] outsin [THORN],5885,510,11700,10248,4.17,0.69,6.97
387,[MVP++] Candy1024 [ICKY],5873,476,25666,15772,2.25,0.69,6.13
388,[MVP++] Shallowing [S],5856,512,16829,14196,2.81,0.83,6.44
389,[MVP++] katchuq [UTMOST],5851,447,14279,14272,4.61,0.53,9.83
390,[MVP+] LeQiTnEsS [IYN],5846,614,22341,18804,2.08,0.85,7.00
391,[MVP+] Syk1pz [LIGHT],5838,242,10785,18381,10.5,1.11,31.31
392,[MVP+] RottenMango_ [TUKTUK],5823,552,23148,19628,1.86,0.80,6.14
393,[MVP++] frostdriven [GGMEN],5812,541,23029,17478,1.72,0.75,5.11
394,[VIP+] kelvinhkhk [JL],5811,472,25806,17864,4.32,1.21,12.00
395,[MVP+] sadpink [BLOOD],5809,349,13453,16025,5.09,0.68,13.69
396,[MVP++] Morgab [IYN],5807,456,10389,13321,3.26,0.43,6.86
