Id, K, D, K/D, FK, FD, FK/D, W, L, W/L, Beds Broken
726,2474,3093,0.80,1260,574,2.20,357,624,0.57,1505
727,98,162,0.60,96,35,2.74,19,50,0.38,111
728,3588,2264,1.58,3141,372,8.44,849,425,2.00,3391
729,509,390,1.31,360,24,15,92,28,3.29,377
730,289,459,0.63,283,66,4.29,83,71,1.17,339
731,114,45,2.53,122,6,20.33,18,6,3,123
732,375,1012,0.37,190,267,0.71,29,345,0.08,290
733,2606,4659,0.56,1995,863,2.31,418,995,0.42,2259
734,541,1055,0.51,373,158,2.36,91,189,0.48,433
735,113,104,1.09,106,24,4.42,28,26,1.08,124
736,1445,1966,0.73,1478,308,4.80,400,323,1.24,1624
737,302,271,1.11,189,73,2.59,35,86,0.41,228
738,2194,3394,0.65,2442,693,3.52,469,1436,0.33,3005
739,1033,1267,0.82,925,192,4.82,239,202,1.18,1066
740,1334,1146,1.16,1974,210,9.4,413,226,1.83,2099
741,217,260,0.83,101,64,1.58,17,79,0.22,143
742,453,865,0.52,510,236,2.16,96,295,0.33,670
743,492,635,0.77,559,66,8.47,135,84,1.61,605
744,604,1122,0.54,414,161,2.57,72,186,0.39,492
745,182,173,1.05,161,18,8.94,51,26,1.96,179
746,1014,3101,0.33,877,364,2.41,182,491,0.37,1335
747,935,1521,0.61,593,538,1.10,145,774,0.19,1010
748,925,2677,0.35,408,681,0.60,56,890,0.06,718
749,479,808,0.59,64,164,0.39,17,210,0.08,148
750,73,71,1.03,95,9,10.56,20,10,2,98
751,630,1234,0.51,564,257,2.19,121,287,0.42,729
752,5923,7350,0.81,4515,1247,3.62,1177,1479,0.80,5094
753,9025,11835,0.76,7677,1795,4.28,1737,2172,0.80,8605
754,116,165,0.70,70,55,1.27,11,70,0.16,114
755,91,128,0.71,85,29,2.93,21,35,0.6,97
756,635,569,1.12,326,201,1.62,91,232,0.39,380
757,67,198,0.34,104,60,1.73,22,74,0.30,162
758,102,214,0.48,113,45,2.51,23,60,0.38,169
759,196,194,1.01,158,24,6.58,50,29,1.72,176
760,317,820,0.39,238,58,4.10,68,71,0.96,285
761,126,160,0.79,51,28,1.82,17,38,0.45,57
762,1007,800,1.26,466,203,2.30,90,224,0.40,618
763,947,1580,0.60,612,449,1.36,123,485,0.25,847
764,5103,5327,0.96,2729,1052,2.59,577,1259,0.46,3318
765,343,326,1.05,283,58,4.88,67,61,1.10,313
766,686,900,0.76,655,94,6.97,186,123,1.51,726
767,4394,6933,0.63,3512,1054,3.33,885,1151,0.77,4309
768,2224,3660,0.61,2713,970,2.80,504,988,0.51,3267
769,6437,5082,1.27,7080,529,13.38,1903,562,3.39,7403
770,939,950,0.99,529,183,2.89,127,197,0.64,637
771,605,1481,0.41,847,381,2.22,203,407,0.50,1157
