Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
585,1165,1113,1.05,542,117,4.63,205,117,1.75,232
586,3660,7362,0.50,2208,632,3.49,1123,591,1.90,980
587,2045,4158,0.49,1492,529,2.82,850,609,1.40,777
588,1369,3867,0.35,993,349,2.85,670,351,1.91,546
589,2458,3890,0.63,1899,507,3.75,807,470,1.72,869
590,2629,3726,0.71,2429,275,8.83,821,270,3.04,1012
591,782,867,0.90,902,133,6.78,344,126,2.73,430
592,2589,4558,0.57,2768,474,5.84,1127,432,2.61,1120
593,1398,1766,0.79,1629,119,13.69,608,107,5.68,638
594,4627,4739,0.98,2788,363,7.68,1069,354,3.02,1160
595,3252,5192,0.63,2186,392,5.58,1017,450,2.26,1058
596,2447,4513,0.54,2319,434,5.34,884,459,1.93,1010
597,1633,1801,0.91,1699,136,12.49,617,119,5.18,732
598,2167,3614,0.60,1736,290,5.99,726,268,2.71,709
599,1328,1693,0.78,1264,175,7.22,453,148,3.06,565
600,6283,8577,0.73,4016,1013,3.96,1539,1043,1.48,1585
601,3766,7043,0.53,2436,737,3.31,1582,717,2.21,1163
602,2979,5718,0.52,2333,556,4.20,1143,559,2.04,1090
603,1111,2720,0.41,1916,198,9.68,661,169,3.91,955
604,2989,4679,0.64,4024,175,22.99,1425,157,9.08,2098
605,2545,5421,0.47,2505,506,4.95,1123,478,2.35,1243
606,2868,3345,0.86,2151,308,6.98,673,313,2.15,865
607,443,674,0.66,462,45,10.27,232,46,5.04,188
608,850,1376,0.62,924,171,5.40,543,148,3.67,458
609,2840,3885,0.73,1627,415,3.92,784,473,1.66,643
610,182,326,0.56,289,43,6.72,117,39,3,136
611,9373,13426,0.70,4434,1725,2.57,1562,1747,0.89,2053
612,3128,2726,1.15,2138,243,8.80,607,243,2.50,902
613,4931,6771,0.73,2693,629,4.28,816,621,1.31,1049
614,4710,3914,1.20,2698,266,10.14,1002,243,4.12,959
615,2061,3521,0.59,2714,257,10.56,992,250,3.97,1043
616,2162,2227,0.97,1089,119,9.15,376,113,3.33,377
617,5354,5166,1.04,2970,292,10.17,940,315,2.98,1227
618,4310,2883,1.49,3388,214,15.83,910,226,4.03,1304
619,457,412,1.11,643,31,20.74,199,33,6.03,250
620,5889,6698,0.88,5152,491,10.49,1804,439,4.11,1741
621,818,2184,0.37,460,309,1.49,265,317,0.84,261
622,1843,1860,0.99,1928,143,13.48,620,185,3.35,754
623,4814,8135,0.59,3265,689,4.74,1304,767,1.70,1634
624,4977,6160,0.81,4410,559,7.89,1664,549,3.03,1743
625,403,806,0.5,630,16,39.38,272,11,24.73,220
